Client ID,First Name,Last Name,Client Type,Client Location
52,Larita,Albright,Industrial ,West
27,Destiny,Aldridge,Industrial ,Midwest
62,Mana,Baron,Organic,West
70,Milagros,Barrera,Organic,North
15,Carmina,Battle,Organic,Northeast
91,Tien,Berman,Traditional,Northeast
63,Maricruz,Berrios,Industrial ,North
73,Nadia,Bingham,Hydroponitc,West
51,Laquanda,Braden,Industrial ,Northeast
49,Kirstin,Browne,Organic,North
34,Georgiann,Bundy,Hydroponitc,West
94,Valeri,Burchfield,Industrial ,Northeast
84,Seymour,Calkins,Hydroponitc,Northeast
25,Deanne,Caro,Industrial ,North
38,Jamel,Caruso,Industrial ,Midwest
82,Samuel,Cheney,Organic,Northeast
28,Edwina,Coates,Traditional,West
66,Mayra,Comstock,Hydroponitc,North
95,Vanesa,Connolly,Organic,Midwest
30,Eulalia,Culver,Industrial ,Midwest
48,Kip,Darling,Traditional,Northeast
31,Francesca,Doughty,Traditional,Northeast
32,Fredda,Dupont,Traditional,North
99,Yael,Eng,Organic,North
14,Buffy,Escamilla,Hydroponitc,West
4,Alethea,Evers,Hydroponitc,North
36,Henry,Fishman,Organic,Midwest
23,Criselda,Florence,Hydroponitc,Northeast
3,Albertina,Francois,Traditional,Northeast
88,Susana,Funderburk,Hydroponitc,North
54,Leigh,Gagne,Traditional,North
80,Ronna,Geer,Industrial ,West
64,Mariko,Giles,Organic,North
37,Inger,Gilley,Traditional,West
43,Jeraldine,Gilman,Industrial ,North
79,Richie,Girard,Traditional,Northeast
40,Janell,Gregg,Organic,Midwest
93,Valarie,Grice,Industrial ,West
1,Adrian,Grove,Organic,West
39,Jami,Grubb,Organic,West
97,Viviana,Guevara,Traditional,Midwest
24,Daine,Gustafson,Organic,Northeast
2,Agnus,Ham,Industrial ,Northeast
22,Chere,Hand,Organic,Northeast
72,Myrl,Harman,Organic,West
96,Viki,Haywood,Industrial ,North
8,Avery,Hoff,Hydroponitc,North
18,Chantelle,Hollins,Hydroponitc,North
26,Delphine,Humes,Traditional,Midwest
76,Quincy,Hutchison,Industrial ,Northeast
65,Maura,Jeffrey,Organic,Northeast
20,Charlott,Jude,Industrial ,North
19,Charity,Keeler,Organic,Northeast
44,Jeremy,Kong,Traditional,West
50,Landon,Kyle,Hydroponitc,North
71,Myong,Lai,Industrial ,Northeast
42,Jefferson,Langdon,Organic,Northeast
53,Lauryn,Lara,Hydroponitc,West
89,Tammera,Lassiter,Industrial ,Northeast
6,Arla,Lauer,Traditional,Northeast
100,Yuri,Lenz,Organic,West
55,Lenora,Lincoln,Organic,Northeast
29,Elisha,Lister,Organic,West
11,Blaine,Lujan,Traditional,Midwest
69,Micki,Mattison,Industrial ,West
59,Loraine,Mcdermott,Organic,Northeast
81,Sallie,Mclendon,Traditional,North
68,Micheal,Merriman,Industrial ,Midwest
57,Li,Milton,Hydroponitc,West
92,Tyler,Miranda,Organic,North
33,Georgiana,Moya,Organic,Northeast
7,Aurora,Noland,Organic,West
83,Sandi,Parrott,Traditional,Northeast
86,Stasia,Parson,Organic,North
58,Lissa,Pease,Organic,Northeast
90,Tegan,Penn,Industrial ,West
87,Stefanie,Penny,Industrial ,North
41,Jeane,Peoples,Hydroponitc,North
61,Maisha,Peterman,Organic,North
60,Lynetta,Piper,Industrial ,West
85,Slyvia,Porterfield,Hydroponitc,West
16,Carolann,Pritchard,Traditional,Northeast
78,Rashida,Proctor,Hydroponitc,North
10,Bernetta,Rawls,Traditional,North
12,Bradly,Rowland,Traditional,North
56,Lewis,Schiller,Traditional,Northeast
5,Annalee,Seidel,Industrial ,West
13,Bret,Sides,Hydroponitc,Northeast
74,Nakisha,Southerland,Industrial ,Northeast
77,Rasheeda,Spivey,Traditional,North
47,Kiera,Staton,Organic,Northeast
45,Kazuko,Steward,Organic,Northeast
67,Melvina,Tidwell,Traditional,Northeast
46,Keena,Vanover,Industrial ,North
9,Babette,Villasenor,Hydroponitc,North
17,Chan,Vue,Industrial ,Midwest
98,Willow,Whitman,Organic,Midwest
21,Chase,Woody,Organic,Northeast
75,Queen,Yount,Traditional,North
35,Heidy,Zhang,Traditional,Northeast
